Region,ipcc_code_2006_for_standard_report,ipcc_code_2006_for_standard_report_name,CO2,CH4,N2O,F-gas,CO2bio,Calculated_Total_GHG,Official_AR5_Total,Difference
05_MNG,2.G,Other Product Manufacture and Use,0.0,0.0,0.2528367649999999,0.0,0.0,0.2528367649999999,0.252836716,-4.8999999890941837e-08
05_MNG,3.A.1,Enteric Fermentation,0.0,17609.441572800002,0.0,0.0,0.0,17609.441572800002,17609.44157,-2.8000031306874007e-06
05_MNG,3.A.2,Manure Management,0.0,728.7146146,546.113122275,0.0,0.0,1274.827736875,1274.827737,1.2500004231696948e-07
05_MNG,3.C.1,Emissions from biomass burning,0.0,5.263624996,1.291537655,0.0,105.4813738,6.555162651,6.5551626,-5.099999977886682e-08
05_MNG,3.C.4,Direct N2O Emissions from managed soils,0.0,0.0,9963.985560149998,0.0,0.0,9963.985560149998,9963.985559,-1.1499978427309543e-06
05_MNG,3.C.5,Indirect N2O Emissions from managed soils,0.0,0.0,540.096379955,0.0,0.0,540.096379955,540.0963799,-5.499998678715201e-08
05_MNG,3.C.6,Indirect N2O Emissions from manure management,0.0,0.0,81.303851555,0.0,0.0,81.303851555,81.30385169,1.350000076172364e-07
05_MNG,4.A,Solid Waste Disposal,0.0,303.80783327999995,0.0,0.0,0.0,303.80783327999995,303.8078332,-7.999994977581082e-08
05_MNG,4.C,Incineration and Open Burning of Waste,0.869438106,0.754376784,0.06561020255,0.0,0.061035398,1.68942509255,1.689425168,7.545000002551205e-08
05_MNG,4.D,Wastewater Treatment and Discharge,0.0,147.430316544,63.65504262,0.0,0.0,211.085359164,211.0853591,-6.400000529538374e-08
05_MNG,4.E,Other,0.0,35.43855952,0.0,0.0,0.0,35.43855952,35.43855952,0.0
05_MNG,5.A,Indirect N2O emissions from the atmospheric deposition of nitrogen in NOx and NH3,0.0,0.0,130.872929415,0.0,0.0,130.872929415,130.8729294,-1.499998347753717e-08
06_PRK,1.A.1.a,Main Activity Electricity and Heat Production,15874.37812,3.538387048,58.68869352,0.0,0.0,15936.605200568,15936.6052,-5.679994501406327e-07
06_PRK,1.A.1.bc,Petroleum Refining - Manufacture of Solid Fuels and Other Energy Industries,43.5761226,0.0126112,0.089516735,0.0,0.0,43.678250535,43.67825063,9.500000430762157e-08
06_PRK,1.A.2,Manufacturing Industries and Construction,36210.78198,103.17019916,146.53989027,0.0,0.0,36460.49206943,36460.49207,5.699985194951296e-07
06_PRK,1.A.3.b_noRES,Road Transportation no resuspension,1076.0116,5.819823856,10.51868422,0.0,0.0,1092.3501080760002,1092.350108,-7.60001057642512e-08
06_PRK,1.A.3.e,Other Transportation,4322.427121,8.978687228,17.099978829999998,0.0,0.0,4348.505787057999,4348.505787,-5.7999386626761407e-08
06_PRK,1.A.4,Residential and other sectors,8749.832191,623.72666552,45.286730860000006,0.0,581.2090928,9418.84558738,9418.845587869999,4.899993655271828e-07
06_PRK,1.A.5,Non-Specified,4091.014104,613.25199124,50.399745535,0.0,3196.13111,4754.665840775,4754.665841,2.2499989427160472e-07
